"Location","Host"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"United States","Chicken"
"Chile","Chicken"
"United States","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Germany,Saxony","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Australia,Queensland","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Chile","Chicken"
"Germany,Mecklenburg-Vorpommern","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"United States","Chicken"
"United States","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"Canada","Chicken"
"Canada","Chicken"
"United States,New York","Chicken"
"Spain","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Punjab,Murree","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan","Chicken"
"United States,New York","Chicken"
"Pakistan","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Pakistan,Punjab,Rawalpindi","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,Rhode Island","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Connecticut","Chicken"
"United States,New Jersey","Chicken"
"Australia,Victoria","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Italy","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"Germany,Thuringia","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"United States,New York","Chicken"
"Australia,Victoria","Chicken"
"Australia,Victoria","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"Italy","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"Australia,New South Wales","Chicken"
"Australia,New South Wales","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Chile","Chicken"
"Italy","Chicken"
"United States,Pennsylvania","Chicken"
"Australia,New South Wales","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"China,Hebei Province","Chicken"
"Canada,British Columbia","Chicken"
"Netherlands","Chicken"
"Chile","Chicken"
"Chile","Chicken"
"Chile","Chicken"
"Chile","Chicken"
"Chile","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,Virginia","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Pennsylvania","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States","Chicken"
"Italy","Chicken"
"Germany","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"Italy","Chicken"
"Ireland","Chicken"
"United Kingdom","Chicken"
"Pakistan","Chicken"
"Australia,Victoria","Chicken"
"Pakistan","Chicken"
"United States,New York","Chicken"
"United States,Pennsylvania","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,Rhode Island","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"Pakistan","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Pakistan","Chicken"
"United States","Chicken"
"Australia,Victoria","Chicken"
"Japan","Chicken"
"Germany","Chicken"
"Australia,Victoria","Chicken"
"Australia,Queensland","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Australia,New South Wales","Chicken"
"Italy","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Pakistan","Chicken"
"United States,Maryland","Chicken"
"Canada,British Columbia","Chicken"
"United States,New York","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan,Sind,Karachi","Chicken"
"Pakistan","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United Kingdom","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Pakistan","Chicken"
"Pakistan,Punjab,Rawalpindi","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New York","Chicken"
"Canada,Saskatchewan","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Italy","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Netherlands","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Canada,British Columbia","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United Kingdom,Wales","Chicken"
"United Kingdom","Chicken"
"Canada,British Columbia","Chicken"
"United Kingdom","Chicken"
"United Kingdom","Chicken"
"Netherlands","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Italy","Chicken"
"United States,New York,The Bronx,New York City","Chicken"
"Germany,Mecklenburg-Vorpommern,Rostock","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"Canada,British Columbia","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Pennsylvania","Chicken"
"United States,Pennsylvania","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"United States,New Jersey","Chicken"
"Pakistan","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"Italy","Chicken"
"United States,New Jersey","Chicken"
"Australia,Queensland","Chicken"
"United States,Pennsylvania","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"United States,New York","Chicken"
"Slovenia","Cygnus olor"
"Hungary,Zala,Keszthely","Cygnus olor"
"China","Duck"
"Japan","Duck"
"Germany","Duck"
"Japan","Duck"
"Netherlands","Duck"
"Portugal","Duck"
"Denmark","Duck"
"Australia,Victoria","Duck"
"Australia,Victoria","Duck"
"Korea, Republic of","Duck"
"Korea, Republic of","Duck"
"Germany,Berlin","Duck"
"Italy","Duck"
"Italy","Duck"
"Japan,Chiba,Chiba-shi","Duck"
"United States,New York","Duck"
"United States,New Jersey","Duck"
"United States,New Jersey","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New Jersey","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"United States,New York","Duck"
"Italy","Duck"
"Hong Kong (SAR)","Duck"
"China,Jiangxi Province","Duck"
"China,Jiangxi Province","Duck"
"Italy","Duck"
"Bolivia, Plurinationial State of","Duck"
"China","Duck"
"China","Duck"
"United States,New York","Duck"
"Italy","Duck"
"United States,New York,The Bronx,New York City","Duck"
"China","Duck"
"United States,Pennsylvania","Duck"
"Germany","Duck"
"Taiwan, Province of China","Duck"
"Hong Kong (SAR)","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan,Hokkaido","Duck"
"Japan","Duck"
"Germany,Brandenburg","Duck"
"United States,Alaska","Duck"
"United States,Maryland","Duck"
"Italy","Duck"
"United States,New Jersey","Duck"
"United States,New York","Duck"
"Mongolia","Duck"
"United States,New York","Duck"
"Australia,Tasmania","Duck"
"China,Jiangxi Province","Duck"
"China,Jiangxi Province","Duck"
"Italy","Duck"
"United States,Ohio","Duck"
"Taiwan, Province of China","Duck"
"Taiwan, Province of China","Duck"
"Taiwan, Province of China","Duck"
"Mongolia","Duck"
"Mongolia","Duck"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New Jersey","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,Maryland","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States","Environment"
"United States","Environment"
"United States,New York","Environment"
"United States,Maryland","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New Jersey","Environment"
"United States,New York","Environment"
"United States,Pennsylvania","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York","Environment"
"United States,New York,The Bronx,New York City","Environment"
"United States,Maryland","Environment"
"United States,Maryland","Environment"
"Czech Republic","Equine"
"Chile","Equine"
"Uruguay","Equine"
"Brazil,Estado de Sao Paulo,Sao Paulo","Equine"
"United States,Kentucky","Equine"
"United Kingdom","Equine"
"Switzerland","Equine"
"United States,Kentucky","Equine"
"United States,Michigan,Wayne County,Detroit","Equine"
"United States","Equine"
"United States,Kentucky","Equine"
"Argentina","Equine"
"United States","Equine"
"United Kingdom","Equine"
"United States,Michigan","Equine"
"United Kingdom","Equine"
"Czech Republic,Hlavni mesto Praha,Praha","Equine"
"United Kingdom","Equine"
"United Arab Emirates","Falco peregrinus"
"Korea, Republic of","Feces"
"Korea, Republic of","Feces"
"Korea, Republic of","Feces"
"Korea, Republic of","Feces"
"Korea, Republic of","Feces"
"Korea, Republic of","Feces"
"Netherlands,Provincie Gelderland,Gemeente Barneveld","Gallus gallus"
"Netherlands,Provincie Zeeland,Gemeente Kapelle","Gallus gallus"
"Belgium,Provincie Antwerpen,Loenhout","Gallus gallus"
"Belgium,Provincie Limburg,Bree","Gallus gallus"
"Belgium,Provincie Antwerpen,Meer","Gallus gallus"
"Belgium,Provincie Limburg,Meeuwen","Gallus gallus"
"Belgium,Provincie Limburg,Bree","Gallus gallus"
"Belgium,Provincie Limburg,Molenbeersel","Gallus gallus"
"Belgium,Provincie Limburg,Kinrooi","Gallus gallus"
"Czech Republic","Goose"
"Germany,Saxony","Goose"
"Egypt","Goose"
"United States,New Jersey","Goose"
"Germany,Saxony","Goose"
"Italy","Goose"
"United States,New Jersey","Goose"
"Germany,Saxony","Goose"
"Czech Republic","Goose"
"Canada,British Columbia","Goose"
"Italy","Guineafowl"
"United States,Massachusetts","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New York","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New Jersey","Guineafowl"
"Italy","Guineafowl"
"Italy","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"Germany","Guineafowl"
"Italy","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"Italy","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New York","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New Jersey","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,New York","Guineafowl"
"United States,Massachusetts","Guineafowl"
"United States,Pennsylvania","Guineafowl"
"United States,New York","Guineafowl"
"Japan,Shimane","Gull"
"Italy","Gull"
"United Kingdom","Human"
"Netherlands","Human"
"United States,New York","Human"
"Canada","Human"
"Hong Kong (SAR)","Human"
"Netherlands","Human"
"Netherlands","Human"
"Netherlands","Human"
"United Kingdom","Human"
"Netherlands","Human"
"Netherlands","Human"
"Netherlands","Human"
"Italy","Laboratory derived"
"Japan","Laboratory derived"
"United States,New Jersey","Larus atricilla"
"United States,Delaware","Larus atricilla"
"United States,New Jersey","Larus atricilla"
"South Africa","Ostrich"
"South Africa","Ostrich"
"Italy","Ostrich"
"Italy","Ostrich"
"Italy","Ostrich"
"South Africa","Ostrich"
