acc,lat,long,date
TW01959,40.75766,-73.91327,1966-01-01
TW00921,43,25,1967-01-01
TW01151,39.00039,-76.74997,1967-01-01
TW01225,54,-4,1969-01-01
TW02630,15.5,-90.25,1969-01-01
TW06375,51.02111,-3.10472,1969-01-01
TW03203,35.75035,-86.25027,1970-01-01
TW02760,37.25022,-119.75126,1971-01-01
TW01143,37.25022,-119.75126,1971-01-01
TW02623,40.58736,-123.81588,1971-01-01
TW00680,38.25031,-92.50046,1971-01-01
TW02622,47.00025,-109.75102,1971-01-01
TW03223,40.75766,-73.91327,1971-01-01
TW03176,39.00039,-75.49992,1972-01-01
TW03114,34.5003,-111.50098,1973-01-01
TW00676,31.25044,-99.25061,1973-01-01
TW02609,37.25022,-119.75126,1974-01-01
TW02615,37.25022,-119.75126,1974-01-01
TW01154,38.83388,-104.82136,1974-01-01
TW01510,44.5002,-114.25118,1974-01-01
TW01130,42.36565,-71.10832,1974-01-01
TW03168,47.00025,-109.75102,1974-01-01
TW01200,44.50026,-100.25069,1974-01-01
TW03157,-30,-71,1975-01-01
TW01503,19.01441,72.84794,1975-01-01
TW03161,23,-102,1975-01-01
TW01146,37.25022,-119.75126,1975-01-01
TW00664,47.00025,-109.75102,1975-01-01
TW00601,40.27245,-76.90567,1975-01-01
TW07051,-10,-55,1977-01-01
TW07073,-23.5475,-46.63611,1977-01-01
TW07886,39.76,-98.5,1977-01-01
TW00046,39.00039,-76.74997,1977-01-01
TW03123,38.25031,-92.50046,1977-01-01
TW00177,31.25044,-99.25061,1977-01-01
TW05307,-10,-55,1978-01-01
TW06129,35.68536,139.75309,1978-01-01
TW00051,43.66702,-71.4998,1978-01-01
TW02719,28.75054,-82.5001,1979-01-01
TW03204,44.00034,-72.74983,1979-01-01
TW01391,60,-96,1980-01-01
TW03131,39.5,-8,1980-01-01
TW07573,44.25029,-85.50033,1980-01-01
TW03125,41.50028,-99.75067,1980-01-01
TW03169,31.25044,-99.25061,1980-01-01
TW07068,-10,-55,1981-01-01
TW07072,-10,-55,1981-01-01
TW06177,-10,-55,1981-01-01
TW01273,56,10,1981-01-01
TW06186,35.68536,139.75309,1981-01-01
TW06256,-10,-55,1982-01-01
TW01387,60,-96,1982-01-01
TW07885,-10,-76,1982-01-01
TW07892,-10,-76,1982-01-01
TW07576,38.83388,-104.82136,1982-01-01
TW00345,31.00047,-92.0004,1982-01-01
TW02299,44.25029,-85.50033,1982-01-01
TW02302,44.25029,-85.50033,1982-01-01
TW00964,44.50026,-100.25069,1982-01-01
TW06139,24,90,1983-01-01
TW06117,-10,-55,1983-01-01
TW02765,-10,-55,1983-01-01
TW03118,-10,-55,1983-01-01
TW00201,-10,-76,1983-01-01
TW00206,-10,-76,1983-01-01
TW03189,-10,-76,1983-01-01
TW05326,-10,-76,1983-01-01
TW04393,-12.04318,-77.02824,1983-01-01
TW00965,44.25029,-85.50033,1983-01-01
TW00353,44.25029,-85.50033,1983-01-01
TW01120,38.89511,-77.03637,1983-01-01
TW03173,40.25034,-83.00018,1984-01-01
TW01393,60,-96,1985-01-01
TW05595,51.5,10.5,1985-01-01
TW05596,51.5,10.5,1985-01-01
TW01150,28.75054,-82.5001,1985-01-01
TW00969,32.75042,-83.50018,1985-01-01
TW03177,38.25031,-92.50046,1985-01-01
TW00359,40.75766,-73.91327,1985-01-01
TW00844,41.50028,-99.75067,1985-01-01
TW06315,41.50028,-99.75067,1985-01-01
TW01149,35.46756,-97.51643,1985-01-01
TW00850,38.89511,-77.03637,1985-01-01
TW00971,-27.46794,153.02809,1986-01-01
TW06276,-10,-55,1986-01-01
TW07889,-30,-71,1986-01-01
TW05605,51.5,10.5,1986-01-01
TW00190,1,38,1986-01-01
TW07890,23,-102,1986-01-01
TW00398,23,-102,1986-01-01
TW00186,44.5002,-114.25118,1986-01-01
TW00970,44.5002,-114.25118,1986-01-01
TW01378,44.50026,-100.25069,1986-01-01
TW00116,38.89511,-77.03637,1986-01-01
TW01678,60,-96,1987-01-01
TW01663,60,-96,1987-01-01
TW01683,60,-96,1987-01-01
TW01666,60,-96,1987-01-01
TW01664,60,-96,1987-01-01
TW01665,60,-96,1987-01-01
TW01670,60,-96,1987-01-01
TW01667,60,-96,1987-01-01
TW04892,64,26,1987-01-01
TW05594,51.5,10.5,1987-01-01
TW05597,51.5,10.5,1987-01-01
TW01300,51.5,10.5,1987-01-01
TW01301,51.5,10.5,1987-01-01
TW05603,51.5,10.5,1987-01-01
TW01297,52.52437,13.41053,1987-01-01
TW01298,52.52437,13.41053,1987-01-01
TW01573,42.36565,-71.10832,1987-01-01
TW00148,40.25034,-83.00018,1987-01-01
TW01686,60,-96,1988-01-01
TW07766,51.5,10.5,1988-01-01
TW07572,42.36565,-71.10832,1988-01-01
TW06538,51.5,10.5,1989-01-01
TW06555,51.5,10.5,1989-01-01
TW06560,51.5,10.5,1989-01-01
TW06410,47.63333,10.68333,1989-01-01
TW02885,54,-4,1989-01-01
TW01597,44.50026,-100.25069,1989-01-01
TW03501,38.89511,-77.03637,1989-01-01
TW07827,-10,-55,1990-01-01
TW07831,-10,-55,1990-01-01
TW07816,-10,-55,1990-01-01
TW07821,-10,-55,1990-01-01
TW07776,51.5,10.5,1990-01-01
TW06591,52.13333,8.68333,1990-01-01
TW05614,51.5,10.5,1991-01-01
TW06558,51.5,10.5,1991-01-01
TW07763,51.5,10.5,1991-01-01
TW07775,51.5,10.5,1991-01-01
TW04170,38.89511,-77.03637,1991-01-01
TW04174,38.89511,-77.03637,1991-01-01
TW04162,38.89511,-77.03637,1991-01-01
TW04257,38.89511,-77.03637,1991-01-01
TW04270,38.89511,-77.03637,1991-01-01
TW04062,38.89511,-77.03637,1991-01-01
TW04262,38.89511,-77.03637,1991-01-01
TW06296,46,2,1992-01-01
TW05608,51.5,10.5,1992-01-01
TW06810,-10,-55,1993-01-01
TW07064,-10,-55,1993-01-01
TW07099,-23.5475,-46.63611,1993-01-01
TW08586,47.9959,7.85222,1993-01-01
TW08573,50.93333,6.95,1993-01-01
TW04863,38.89511,-77.03637,1993-01-01
TW06407,47.63333,10.68333,1994-01-01
TW06408,50,8.66667,1994-01-01
TW08997,10,8,1994-01-01
TW08982,10,8,1994-01-01
TW08983,10,8,1994-01-01
TW08984,10,8,1994-01-01
TW04909,47.00025,-109.75102,1994-01-01
TW05992,41.75038,-71.49978,1994-01-01
TW08259,-23.5475,-46.63611,1995-01-01
TW05356,38.89511,-77.03637,1995-01-01
TW07813,43.00024,-107.5009,1995-01-01
TW08261,-32.035,-52.09861,1996-01-01
TW09356,51.5,10.5,1996-01-01
TW08566,50.77664,6.08342,1996-01-01
TW08565,48.36667,10.88333,1996-01-01
TW08114,50.86667,8.03333,1996-01-01
TW08264,35.68536,139.75309,1996-01-01
TW07587,34.66167,133.935,1996-01-01
TW07705,39.25024,-111.75103,1996-01-01
TW07922,-10,-55,1997-01-01
TW08601,64,26,1997-01-01
TW08574,48.36667,10.88333,1997-01-01
TW08969,35.68536,139.75309,1997-01-01
TW08970,35.68536,139.75309,1997-01-01
TW07697,28.75054,-82.5001,1997-01-01
TW07814,44.5002,-114.25118,1997-01-01
TW07591,44.25029,-85.50033,1997-01-01
TW07702,40.25034,-83.00018,1997-01-01
TW07704,40.25034,-83.00018,1997-01-01
TW07706,39.25024,-111.75103,1997-01-01
TW07923,-10,-55,1998-01-01
TW08262,-32.035,-52.09861,1998-01-01
TW08569,54.0887,12.14049,1998-01-01
TW08575,50.77664,6.08342,1998-01-01
TW08994,10,8,1998-01-01
TW08996,10,8,1998-01-01
TW08993,10,8,1998-01-01
TW08585,2,33,1998-01-01
TW07928,38.89511,-77.03637,1998-01-01
TW07945,28.75054,-82.5001,1998-01-01
TW07946,28.75054,-82.5001,1998-01-01
TW07931,42.36565,-71.10832,1998-01-01
TW07937,42.36565,-71.10832,1998-01-01
TW07938,42.36565,-71.10832,1998-01-01
TW07939,42.36565,-71.10832,1998-01-01
TW07941,42.36565,-71.10832,1998-01-01
TW07936,42.36565,-71.10832,1998-01-01
TW08023,47.00025,-109.75102,1998-01-01
TW07597,41.50028,-99.75067,1998-01-01
TW07599,41.50028,-99.75067,1998-01-01
TW07595,41.50028,-99.75067,1998-01-01
TW07598,41.50028,-99.75067,1998-01-01
TW07600,41.50028,-99.75067,1998-01-01
TW07601,41.50028,-99.75067,1998-01-01
TW07596,41.50028,-99.75067,1998-01-01
TW07961,40.25034,-83.00018,1998-01-01
TW07962,40.25034,-83.00018,1998-01-01
TW07960,40.25034,-83.00018,1998-01-01
TW08570,52.52437,13.41053,1999-01-01
TW08578,50.77664,6.08342,1999-01-01
TW08577,50.83333,12.91667,1999-01-01
TW08576,48.13743,11.57549,1999-01-01
TW08868,41.66704,-72.66648,1999-01-01
TW07949,38.89511,-77.03637,1999-01-01
TW07950,38.89511,-77.03637,1999-01-01
TW07952,38.89511,-77.03637,1999-01-01
TW07953,38.89511,-77.03637,1999-01-01
TW07956,38.89511,-77.03637,1999-01-01
TW07957,38.89511,-77.03637,1999-01-01
TW07958,38.89511,-77.03637,1999-01-01
TW07948,38.89511,-77.03637,1999-01-01
TW07943,42.36565,-71.10832,1999-01-01
TW07810,39.00039,-76.74997,1999-01-01
TW07995,40.25034,-83.00018,1999-01-01
TW07926,31.25044,-99.25061,1999-01-01
TW08642,38.89511,-77.03637,1999-01-01
TW08998,51.5,10.5,2000-01-01
TW08571,53.43333,10.36667,2000-01-01
TW08580,50.93333,6.95,2000-01-01
TW08974,35.68536,139.75309,2000-01-01
TW07614,44.25029,-85.50033,2000-01-01
TW08645,38.89511,-77.03637,2000-01-01
TW08647,38.89511,-77.03637,2000-01-01
TW08979,35.68536,139.75309,2001-01-01
TW08581,62,10,2001-01-01
TW08637,38.89511,-77.03637,2001-01-01
TW08643,38.89511,-77.03637,2001-01-01
TW08644,38.89511,-77.03637,2001-01-01
TW08980,35.68536,139.75309,2002-01-01
TW09183,44.25029,-85.50033,2003-01-01
TW07897,-5,120,1960-01-01
TW09352,31.00047,-92.0004,2001-11-01
TW02981,34.00043,-81.00009,1970-01-01
TW07075,-10,-55,1977-01-01
TW07076,-10,-55,1977-01-01
TW01496,54,-4,1980-01-01
TW08101,47.00025,-109.75102,2000-01-01
TW09211,43.11503,-82.4902,2001-08-14
TW09214,42.78752,-86.10893,2002-06-25
TW09232,42.78752,-86.10893,2002-08-20
TW09237,43.11503,-82.4902,2002-09-06
TW09135,56,-4,2003-09-01
TW09131,56,-4,2003-09-01
TW09132,56,-4,2003-09-01
TW09133,56,-4,2003-09-01
TW09134,56,-4,2003-09-01
TW09136,56,-4,2003-09-01
TW14960,41.66704,-72.66648,2003-01-01
TW10121,44.25029,-85.50033,2001-01-01
TW14003,44.25029,-85.50033,2006-01-01
TW10246,44.25029,-85.50033,2002-01-01
TW14359,44.25029,-85.50033,2006-01-01
TW11308,-28,153.43333,1996-01-01
ty2482,51.5,10.5,2011-01-01
TW10245,44.25029,-85.50033,2002-01-01
